texte,auteur,handle,date,datetime,url,likes,retweets,nb_mots
valérie bacot a vécu l’enfer avec son mari et elle risque une telle peine ?,ambre ✩,@degradarry,2021-06-21,2021-06-21T18:14:14.000Z,https://x.com/degradarry/status/1407039170695028746,1,0,15
"Armando Bacot is returning to UNC for his junior season in 2021-22. 
 He's averaged 10.9 points and 8.0 rebounds in 61 games as a Tar Heel, scoring in double figures 36 times. Bacot earned third-team All-ACC and first-team All-ACC Tournament honors as a sophomore",Joe Mazur,@JoeMazurJr,2021-06-21,2021-06-21T21:56:12.000Z,https://x.com/JoeMazurJr/status/1407095030150479872,3,0,44
"Bacot Returning for Junior Season 

#CarolinaFamily",Carolina Basketball,@UNC_Basketball,2021-06-21,2021-06-21T21:53:51.000Z,https://x.com/UNC_Basketball/status/1407094437663035393,813,107,6
"Armando Bacot is running it back in Chapel Hill 

The 
@UNC_Basketball
 big man announced he's returning for his junior season",NCAA March Madness,@MarchMadnessMBB,2021-06-21,2021-06-21T22:23:27.000Z,https://x.com/MarchMadnessMBB/status/1407101886264655873,0,0,20
"please make a ""BRINGING HOME THE BACOT"" headline 
@dailytarheel",the real RMJ=H,@rmj_equals_hero,2021-06-21,2021-06-21T20:57:07.000Z,https://x.com/rmj_equals_hero/status/1407080160529203200,2,0,9
"Le piden cadena perpetua por matar al padrastro, que la violó desde los 12 años, la dejó embazada 4 veces y la obligó a prostituirse.  Que mierda de justicia es esta y que mierda de sociedad.  
https://
google.com/amp/s/amp.elpe
riodico.com/es/sociedad/20210621/juicio-francia-valerie-bacot-mujer-mato-padrastro-abusos-depredador-sexual-11842568?espv=1
…",O galeguiño,@GallleguitoEl,2021-06-21,2021-06-21T19:32:40.000Z,https://x.com/GallleguitoEl/status/1407058909492350979,10,12,40
UNC - Armando Bacot confirmed to be withdrawing from the NBA Draft and returning,College Fantasy Basketball,@NCAAFantasyHoop,2021-06-21,2021-06-21T21:01:48.000Z,https://x.com/NCAAFantasyHoop/status/1407081342119129092,1,2,14
"As expected, Armando Bacot formally announces he will be back for his junior season at #UNC.",Andrew Jones,@AJTarHeel247,2021-06-21,2021-06-21T21:08:02.000Z,https://x.com/AJTarHeel247/status/1407082909215989760,169,3,16
"The case of Valerie Bacot is harrowing and her treatment by the so called justice system is reprehensible.

[Trigger Warning]",Ronke Lawal,@ronkelawal,2021-06-21,2021-06-21T18:59:06.000Z,https://x.com/ronkelawal/status/1407050463942434820,5,0,20
"Karim Zeribi sur le procès de Valérie Bacot pour le meurtre de son mari qui la prostituait : «Pour moi elle n’a pas commis un crime, elle a débarrassé la société d’un monstre (…) Ca ne mérite même pas un jour de prison» #Punchline",CNEWS,@CNEWS,2021-06-21,2021-06-21T16:56:52.000Z,https://x.com/CNEWS/status/1407019699351834640,0,0,44
"Liberté pour Valérie Bacot
#LibertéPourValérie
Trigger Warnung: Kindesmissbrauch und Mord 

https://
change.org/p/freiheit-f%C
3%BCr-val%C3%A9rie-bacot-libert%C3%A9pourval%C3%A9rie-freiheitf%C3%BCrval%C3%A9rie
…",AStA Uni Potsdam,@astaup,2021-06-21,2021-06-21T19:55:13.000Z,https://x.com/astaup/status/1407064583135764480,2,2,14
"tanam tanam ubi tak perlu dibajek, bacot kau babi sini kau ku injek",om el,@ellbotel,2021-06-21,2021-06-21T18:56:10.000Z,https://x.com/ellbotel/status/1407049722611867648,13,0,13
It’s official as expected  #UNC Center Armando Bacot will return for his Junior Year.,Jay,@Jayy_Hardyy252,2021-06-21,2021-06-21T21:09:08.000Z,https://x.com/Jayy_Hardyy252/status/1407083184060305412,56,1,14
"Armando Bacot Back to UNC: Tar Heels guard withdraws from the NBA draft and will return to Chapel Hill for his junior season (Rothstein) 
http://
bleacherreport.com/post/unc-baske
tball/c86254a7-a29c-41cf-9fe1-c9b00a603413?share=twitter
…",Ray Burley Jr®  ✧,@uncbluefan,2021-06-21,2021-06-21T21:04:50.000Z,https://x.com/uncbluefan/status/1407082101762056197,2,0,28
"#Violenciadoméstica #Violenciasexual Valérie Bacot: la historia de la mujer francesa juzgada por haber matado a su abusador 
http://
dlvr.it/S2B5MH",Juan Antonio Tirado,@jatirado_oc,2021-06-21,2021-06-21T21:35:34.000Z,https://x.com/jatirado_oc/status/1407089836561866752,2,1,19
"It's official: Armando Bacot is coming back to Carolina.

Per 
@UNCKirschner
, Bacot led 
@UNC_Basketball
 in scoring (12.3), field goal percentage (.628), rebounding (7.8) and blocks (26) last season. 
@WXIISports",Lauren Walsh,@lauwalsh10,2021-06-21,2021-06-21T22:26:30.000Z,https://x.com/lauwalsh10/status/1407102657542696961,5,2,30
"Sidérée par le compte-rendu du procès, l’attitude des représentants de justice et le risque encouru malgré les circonstances 

@E_DupondM
 
@justice_gouv
 
Pas de prison pour Valérie Bacot ! #LibertéPourValérie - Signez la pétition ! 
http://
chng.it/J99gVsFs",Céline L,@celiloui,2021-06-21,2021-06-21T22:26:18.000Z,https://x.com/celiloui/status/1407102605344612356,2,1,35
"Une femme qui a subit le crime d'inceste,celui de viol,de proxenetisme,d'actes de torture et de barbarie et d'autres crimes, de manière constante durant toute sa vie..et y met fin à cause de l'impunité,n'est pas une criminelle c'est une victime! #RelaxepourValerieBacot 
@de_bacot",Alliance des Femmes,@alliance_femmes,2021-06-21,2021-06-21T19:01:04.000Z,https://x.com/alliance_femmes/status/1407050956613853191,2,0,41
"my most confusing block remains armando bacot, who i dont think ive ever actually @-ed?",daniel plainviewfinder,@JWJones252,2021-06-21,2021-06-21T21:04:59.000Z,https://x.com/JWJones252/status/1407082139661836288,0,0,15
"Procès de Valérie Bacot: selon son avocate, ""cette première journée a été extrêmement éprouvante""",BFM Grand Soir,@BFMGrandSoir,2021-06-21,2021-06-21T20:46:03.000Z,https://x.com/BFMGrandSoir/status/1407077375414788104,2,1,14
"Widely assumed, but now it's official. Bacot has a chance to lead #UNC in scoring and rebounding this coming season.",Brendan Marks,@BrendanRMarks,2021-06-21,2021-06-21T21:04:18.000Z,https://x.com/BrendanRMarks/status/1407081970312650764,17,2,20
North Carolina's Armando Bacot tells me that he is withdrawing from the 2021 NBA Draft and returning to school next season.,Jon Rothstein,@JonRothstein,2021-06-21,2021-06-21T20:56:06.000Z,https://x.com/JonRothstein/status/1407079906262106115,0,0,21
"L'historie de Valérie Bacot, la dame qui a tué son mari, est trop choquante. J'espère qu'elle s'en sortira et qu'elle ne sera pas condamnée. Elle a déjà vécu l'enfer et la privation de liberté.",Sativa .,@BlancheWeed,2021-06-21,2021-06-21T23:01:29.000Z,https://x.com/BlancheWeed/status/1407111459340009473,9,0,34
"comment est-ce même possible que Valérie Bacot risque la perpétuité... insane à quel point le système de justice est défaillant quand on parle de violence faite aux femmes, IN-FUCKING-SANE","Daphné B.@daphnebbbbb·Jun 21, 2021",@daphnebbbbb,2021-06-21,2021-06-21T17:53:52.000Z,https://x.com/daphnebbbbb/status/1407034046459387904,2,0,29
"No surprise here, but Armando Bacot has confirmed he will return to #UNC for his junior season. 

Bacot led the Tar Heels in scoring and rebounding during his sophomore campaign.","Jacob Turner@JacobTurnerNC·Jun 21, 2021",@JacobTurnerNC,2021-06-21,2021-06-21T21:24:00.000Z,https://x.com/JacobTurnerNC/status/1407086925564071945,57,0,30
"Valerie Bacot: French woman goes on trial for murder of abuser

https://
bbc.co.uk/news/world-eur
ope-57553692
… 
#English",Rojname Kurdish News ,@Rojname_com,2021-06-21,2021-06-21T22:31:05.000Z,https://x.com/Rojname_com/status/1407103810292572168,0,0,16
"Cette femme n'a jamais reçu la protection qu'elle meritait, ni de ses parents, ni même de la justice... la justice savait qu'elle était violée petite mais elle l'a quand même laissé vivre avec son bourreau. La justice est coupable, Valérie non.
#Bacot",S◯phiƎE ,@SophieID5,2021-06-21,2021-06-21T17:59:20.000Z,https://x.com/SophieID5/status/1407035420249108487,16,4,42
valérie bacot elle va être acquittée j’espère sinon je vais tout casser,…☆chimène☆,@25wagg3dou2x,2021-06-21,2021-06-21T18:14:42.000Z,https://x.com/25wagg3dou2x/status/1407039289150607365,2,0,12
"Valerie Bacot: French woman goes on trial for murder of abuser  
https://
bbc.com/news/world-eur
ope-57553692
…",the painter flynn,@thepainterflynn,2021-06-21,2021-06-21T19:50:19.000Z,https://x.com/thepainterflynn/status/1407063350551486473,1,1,15
"He’s Back! Long assumed, Armando Bacot made it official with a tweet that he will be on the floor for the 2021-22 Tar Heels: 
https://
tarheelblog.com/2021/6/21/2254
4274/unc-basketball-armando-bacot-nba-draft-tar-heels?utm_campaign=tarheelblog&utm_content=chorus&utm_medium=social&utm_source=twitter
…",Tar Heel Blog,@tarheelblog,2021-06-21,2021-06-21T21:25:48.000Z,https://x.com/tarheelblog/status/1407087382101434371,80,3,28
"Pour l'avocate de Valérie Bacot, ""c'est une femme qui vit la terreur d'une manière incroyable""",BFM Grand Soir,@BFMGrandSoir,2021-06-21,2021-06-21T20:41:39.000Z,https://x.com/BFMGrandSoir/status/1407076269473345548,3,1,15
"Armando Bacot, as expected, will be coming back to UNC

Trey Murphy, on the other hand, has signed with an agent and will keep his name in the draft",Jamie Shaw,@JamieShaw5,2021-06-21,2021-06-21T21:04:35.000Z,https://x.com/JamieShaw5/status/1407082041099886592,6,2,29
"Este lunes ha comenzado en Francia el juicio contra Valérie Bacot, que mató a su padrastro después convertido en marido y quien presuntamente abusó de ella durante años 
https://
eldiario.es/internacional/
theguardian/juicio-mujer-mato-abusador-reabre-debate-violencia-machista-francia_1_8060128.html
…",elDiario.es,@eldiarioes,2021-06-21,2021-06-21T19:40:00.000Z,https://x.com/eldiarioes/status/1407060753618653190,24,20,32
"North Carolina big man Armando Bacot will return to Chapel Hill and withdraw from the NBA Draft process, he told 
@Stadium
.",Jeff Goodman,@GoodmanHoops,2021-06-21,2021-06-21T20:58:28.000Z,https://x.com/GoodmanHoops/status/1407080499382792203,548,79,22
"UNC big man Bacot to return for junior season with Tar Heels 
https://
cbs17.com/sports/unc/unc
-big-man-bacot-to-return-for-junior-season-with-tar-heels/
…",CBS 17,@WNCN,2021-06-21,2021-06-21T23:41:51.000Z,https://x.com/WNCN/status/1407121617461952513,2,0,16
"Total soutien à Valérie BACOT. Nous demandons la clémence du Tribunal avec une peine symbolique sans incarcération. 

@de_bacot

 
https://
facebook.com/20minutes/vide
os/785558475473020/
…",FNVF,@FNVF19,2021-06-21,2021-06-21T19:35:12.000Z,https://x.com/FNVF19/status/1407059544690266118,3,5,22
"Maybe Bacot having Davis with ""Deal with it"" glasses was a pretty good clue that he was coming back.  Either way, Bacot made it official today. 
https://
tarheelblog.com/2021/6/21/2254
4274/unc-basketball-armando-bacot-nba-draft-tar-heels?utm_campaign=albhood&utm_content=chorus&utm_medium=social&utm_source=twitter
…",Al Hood,@albhood,2021-06-21,2021-06-21T21:28:52.000Z,https://x.com/albhood/status/1407088152465088516,1,0,30
"Valérie Bacot: la historia de la mujer francesa juzgada por haber matado a su abusador 
http://
dlvr.it/S2BBx0",Me Dicen GüiFi ,@SoyElGuiFi,2021-06-21,2021-06-21T22:21:34.000Z,https://x.com/SoyElGuiFi/status/1407101414367657985,0,0,17
"Here’s what I’m thinking about tonight…

With Bacot + Caleb Love + Kerwin, we got a shot in every game. 

A lot of teams can’t say that, but we can. 

Can’t wait for next season.",UNC Humor,@UNC_Humor,2021-06-21,2021-06-21T23:19:44.000Z,https://x.com/UNC_Humor/status/1407116050907516928,451,16,35
"Bacot is 


@iget_buckets35
 announces he will return to 
@UNC_Basketball
 for his junior season",ACC Network,@accnetwork,2021-06-21,2021-06-21T21:39:15.000Z,https://x.com/accnetwork/status/1407090765667442696,353,27,13
J'espère que Valerie Bacot va repartir libre à la fin de son procès.,Ravava,@Ravavamouna,2021-06-21,2021-06-21T18:42:29.000Z,https://x.com/Ravavamouna/status/1407046278509379589,5,0,13
"Elle aurait même tuer le saigner avant !!!! 
Quelle horreur 
Le pire est de se dire que ça doit encore exister
Pas de prison pour Valérie Bacot ! Violée, violentée, prostituée #LibertéPourValérie - Signez la pétition ! 
http://
chng.it/MfvsDyJg via 
@ChangeFrance
 
#ValerieBacot",AURELIE,@AURELCOLENEL,2021-06-21,2021-06-21T18:21:41.000Z,https://x.com/AURELCOLENEL/status/1407041045389578247,3,1,42
"Follow: @pinjollaknat_
----------------------------------------
Saking gak ada gunanya, @satgaswaspadainvestasi 
@tongam_tobing
 kebanyakan bacot. Blokir dan blokir. Ig, fb Twitter juga kalo diblokir bisa dibuat lagi. 

Gimana bacot kan??

GABUT, BACOT, COCOT",Khna Representative Official,@Khnatangsel,2021-06-21,2021-06-21T18:36:30.000Z,https://x.com/Khnatangsel/status/1407044775044333572,0,0,29
"Plus j'entends le récit du calvaire de Valérie Bacot, plus je me dis qu'il a eu ce qu'il méritait.",Ceselha,@Cezoju40,2021-06-21,2021-06-21T17:54:15.000Z,https://x.com/Cezoju40/status/1407034142282366980,8,0,19
"The details of this case are horrific. Bacot became pregnant four times by her stepfather and was abused almost daily.  

France has one of the highest rates of femicide in Europe – according to the Guardian at least 55 women have been killed this year by a current or ex partner.",Mashaal Mir,@MashaalMir,2021-06-21,2021-06-21T18:52:33.000Z,https://x.com/MashaalMir/status/1407048813911678981,54,43,51
"Valérie Bacot fue violada de niña por su padrastro, luego convertido en su marido, que además de maltratarla la obligó a prostituirse. Su proceso comienza cuando una nueva oleada de feminicidios brutales cuestiona las políticas contra la violencia machista 
https://
elpais.com/sociedad/2021-
06-21/el-juicio-a-una-mujer-que-mato-a-su-marido-maltratador-reabre-en-francia-el-debate-sobre-la-violencia-machista.html?ssm=TW_CM_FEM#Echobox=1624282346
…",EL PAÍS Fem,@elpais_fem,2021-06-21,2021-06-21T18:30:42.000Z,https://x.com/elpais_fem/status/1407043315648942080,0,2,43
