url,titre,auteur,date,sitename,type_doc,source_type,word_count,video_url
https://france3-regions.franceinfo.fr/bourgogne-franche-comte/recit-femme-battue-violee-prostituee-valerie-bacot-tue-son-mari-23-victime-qui-ne-manque-personne-1854240.html,"RÉCIT. Femme battue, violée, prostituée, Valérie Bacot a tué son mari (2/3). Le mari, victime qui ne manque à personne",Gabriel Talon,2020-10-02,,article,manuel,1461,
https://france3-regions.franceinfo.fr/bourgogne-franche-comte/saone-et-loire/chalon-sur-saone/direct-valerie-bacot-femme-battue-qui-a-tue-son-mari-le-proces-commence-aux-assises-de-saone-et-loire-2142121.html,"Valérie Bacot : ""je voulais nous protéger de lui"", explique lors de son procès celle qui a tué son mari violent",Gaël Simon,2021-06-21,,article,manuel,3523,
https://www.rtl.fr/actu/justice-faits-divers/crime-de-la-clayette-la-seconde-affaire-jacqueline-sauvage-7791251037,Crime de La Clayette : la seconde affaire Jacqueline Sauvage,Jean-Alphonse Richard,2017-12-04,,article,manuel,396,
https://france3-regions.franceinfo.fr/bourgogne-franche-comte/saone-et-loire/macon/macon-6-mois-prison-sursis-requis-contre-enfants-affaire-clayette-1752567.html,Assassinat de La Clayette : les enfants condamnés à six mois de prison avec sursis pour recel de cadavre,F L; M F avec Michel Gillot,2019-12-19,,article,manuel,523,
https://madame.lefigaro.fr/societe/valerie-bacot-proces-livre-femme-battue-violee-prostituee-par-son-mari-tout-le-monde-savait-230621-197039,"""Tout le monde savait"", le récit terrifiant de Valérie Bacot, battue, violée et prostituée par son mari",Stéphanie O'brien,2021-06-23,,article,manuel,2189,
https://www.lejsl.com/faits-divers-justice/2021/06/23/suivez-le-proces-de-valerie-bacot,Justice / Chalon-sur-Saône. Procès de Valérie Bacot : l'effroyable témoignage de la soeur de Daniel,Jim GASSMANN,2021-06-23,,article,manuel,6010,
https://web.archive.org/web/20210624204110/https://www.sudradio.fr/societe/la-mere-de-valerie-bacot-parle-damour-avec-son-mari-proxenete/,"La mère de Valérie Bacot parle d'""amour"" avec son mari proxénète - Sud Radio",Afp,2021-06-23,,article,manuel,485,
https://www.bfmtv.com/police-justice/une-petition-demande-la-liberte-pour-valerie-bacot-accusee-d-avoir-tue-son-mari-violent_AN-202101190267.html,"Une pétition demande la liberté pour Valérie Bacot, accusée d'avoir tué son mari violent",Céline Hussonnois-Alaya,2021-01-19,,article,manuel,470,
https://france3-regions.franceinfo.fr/bourgogne-franche-comte/saone-et-loire/macon/valerie-bacot-a-nouveau-face-a-la-justice-suite-a-la-plainte-de-sa-mere-pour-diffamation-2308621.html,Valérie Bacot à nouveau face à la justice suite à la plainte de sa mère pour diffamation,Gaël Simon,2021-10-25,,article,manuel,730,
https://france3-regions.franceinfo.fr/bourgogne-franche-comte/recit-battue-violee-prostituee-valerie-bacot-tue-son-mari-13-epouse-victime-accusee-1854434.html,"RÉCIT. Battue, violée, prostituée, Valérie Bacot a tué son mari (1/3). L'épouse victime et accusée",Gabriel Talon,2020-10-02,,article,manuel,1786,
