url,titre,date,sitename,type_source,type_doc,word_count,categorie_dominante,score_total,cluster,cluster_mots_cles,score_soutien_victime,score_remise_en_question,score_legitime_defense,score_discours_feministe,score_emprise_psychologique,score_silence_collectif,score_sensationnalisme,score_jugement_moral
https://france3-regions.franceinfo.fr/bourgogne-franche-comte/recit-femme-battue-violee-prostituee-valerie-bacot-tue-son-mari-23-victime-qui-ne-manque-personne-1854240.html,"RÉCIT. Femme battue, violée, prostituée, Valérie Bacot a tué son mari (2/3). Le mari, victime qui ne",2020-10-02,,article_presse,article,1461,silence_collectif,78,4,"bacot, valérie bacot, valérie, ans, daniel",5,7,8,0,4,35,4,15
https://france3-regions.franceinfo.fr/bourgogne-franche-comte/saone-et-loire/chalon-sur-saone/direct-valerie-bacot-femme-battue-qui-a-tue-son-mari-le-proces-commence-aux-assises-de-saone-et-loire-2142121.html,"Valérie Bacot : ""je voulais nous protéger de lui"", explique lors de son procès celle qui a tué son m",2021-06-21,,article_presse,article,3523,silence_collectif,206,4,"bacot, valérie bacot, valérie, ans, daniel",18,31,12,9,17,89,8,22
https://www.rtl.fr/actu/justice-faits-divers/crime-de-la-clayette-la-seconde-affaire-jacqueline-sauvage-7791251037,Crime de La Clayette : la seconde affaire Jacqueline Sauvage,2017-12-04,,article_presse,article,396,silence_collectif,45,0,"bacot, femmes, violences, valérie bacot, valérie",2,3,9,5,3,11,7,5
https://france3-regions.franceinfo.fr/bourgogne-franche-comte/saone-et-loire/macon/macon-6-mois-prison-sursis-requis-contre-enfants-affaire-clayette-1752567.html,Assassinat de La Clayette : les enfants condamnés à six mois de prison avec sursis pour recel de cad,2019-12-19,,article_presse,article,523,silence_collectif,54,0,"bacot, femmes, violences, valérie bacot, valérie",3,1,15,2,2,18,5,8
https://madame.lefigaro.fr/societe/valerie-bacot-proces-livre-femme-battue-violee-prostituee-par-son-mari-tout-le-monde-savait-230621-197039,"""Tout le monde savait"", le récit terrifiant de Valérie Bacot, battue, violée et prostituée par son m",2021-06-23,,article_presse,article,2189,silence_collectif,157,4,"bacot, valérie bacot, valérie, ans, daniel",19,10,6,5,12,74,12,19
https://www.lejsl.com/faits-divers-justice/2021/06/23/suivez-le-proces-de-valerie-bacot,Justice / Chalon-sur-Saône. Procès de Valérie Bacot : l'effroyable témoignage de la soeur de Daniel,2021-06-23,,article_presse,article,6010,silence_collectif,239,4,"bacot, valérie bacot, valérie, ans, daniel",28,24,19,9,19,78,14,48
https://web.archive.org/web/20210624204110/https://www.sudradio.fr/societe/la-mere-de-valerie-bacot-parle-damour-avec-son-mari-proxenete/,"La mère de Valérie Bacot parle d'""amour"" avec son mari proxénète - Sud Radio",2021-06-23,,article_presse,article,485,jugement_moral,18,4,"bacot, valérie bacot, valérie, ans, daniel",3,3,1,0,0,4,0,7
https://www.bfmtv.com/police-justice/une-petition-demande-la-liberte-pour-valerie-bacot-accusee-d-avoir-tue-son-mari-violent_AN-202101190267.html,"Une pétition demande la liberté pour Valérie Bacot, accusée d'avoir tué son mari violent",2021-01-19,,article_presse,article,470,silence_collectif,51,4,"bacot, valérie bacot, valérie, ans, daniel",6,5,7,2,5,20,1,5
https://france3-regions.franceinfo.fr/bourgogne-franche-comte/saone-et-loire/macon/valerie-bacot-a-nouveau-face-a-la-justice-suite-a-la-plainte-de-sa-mere-pour-diffamation-2308621.html,Valérie Bacot à nouveau face à la justice suite à la plainte de sa mère pour diffamation,2021-10-25,,article_presse,article,730,silence_collectif,29,4,"bacot, valérie bacot, valérie, ans, daniel",2,2,3,1,2,14,1,4
https://france3-regions.franceinfo.fr/bourgogne-franche-comte/recit-battue-violee-prostituee-valerie-bacot-tue-son-mari-13-epouse-victime-accusee-1854434.html,"RÉCIT. Battue, violée, prostituée, Valérie Bacot a tué son mari (1/3). L'épouse victime et accusée",2020-10-02,,article_presse,article,1786,silence_collectif,106,4,"bacot, valérie bacot, valérie, ans, daniel",2,9,10,0,3,60,7,15
https://www.20minutes.fr/justice/3064991-20210621-violences-conjugales-valerie-bacot-femme-battue-jugee-assassinat-mari-violent,"Valérie Bacot, une femme battue jugée pour l’assassinat de son mari violent",2021-06-21,,article_presse,article,1215,silence_collectif,74,4,"bacot, valérie bacot, valérie, ans, daniel",1,9,9,2,5,28,8,12
https://www.bfmtv.com/police-justice/proces/en-direct-valerie-bacot-jugee-pour-avoir-tue-son-mari-proxenete-suivez-le-proces_LN-202106210135.html,Fin de cette première journée de procès,2021-06-21,,article_presse,article,1234,silence_collectif,72,4,"bacot, valérie bacot, valérie, ans, daniel",8,3,6,1,9,35,2,8
https://www.tf1info.fr/justice-faits-divers/video-replay-tf1-sept-a-huit-l-interview-bouleversante-de-valerie-bacot-jugee-pour-avoir-tue-son-mari-qui-la-tyrannisait-2185510.html,"""Sept à Huit "" : l'interview bouleversante de Valérie Bacot, jugée pour avoir tué son mari qui la ty",2021-06-21,,article_presse,article,1317,silence_collectif,97,4,"bacot, valérie bacot, valérie, ans, daniel",13,9,6,0,10,46,4,9
https://www.lefigaro.fr/faits-divers/affaire-valerie-bacot-une-petition-pour-obtenir-la-grace-d-une-femme-que-personne-n-a-jamais-protegee-20210121,Affaire Valérie Bacot : une pétition pour obtenir la grâce d'une femme que «personne n'a jamais prot,2021-01-21,,article_presse,article,864,silence_collectif,58,4,"bacot, valérie bacot, valérie, ans, daniel",7,7,8,2,3,19,6,6
https://www.senat.fr/compte-rendu-commissions/20211101/ddf_bacot.html,Délégation aux droits des femmes : compte rendu de la semaine du 1er novembre 2021,2021-11-04,,article_presse,article,11090,silence_collectif,765,0,"bacot, femmes, violences, valérie bacot, valérie",95,51,81,35,54,296,36,117
https://france3-regions.franceinfo.fr/bourgogne-franche-comte/saone-et-loire/chalon-sur-saone/direct-valerie-bacot-elle-est-non-coupable-clame-l-un-des-enfants-de-la-femme-qui-a-tue-son-mari-violent-2147332.html,"Valérie Bacot : ""On avait une peur, qu'il se relève et nous tue"" témoignent les enfants de l'homme t",2021-06-22,,article_presse,article,2910,silence_collectif,162,4,"bacot, valérie bacot, valérie, ans, daniel",12,33,5,4,9,80,4,15
https://www.tf1.fr/tf1/chroniques-criminelles/videos/chroniques-criminelles-laffaire-valerie-bacot-le-meurtre-au-bout-de-lenfer-54646380.html,Chroniques criminelles - L'Affaire Valérie Bacot : Le meurtre au bout de l'enfer - Chroniques crimin,2025-09-28,,article_presse,article,164,remise_en_question,13,4,"bacot, valérie bacot, valérie, ans, daniel",1,4,1,0,2,2,2,1
https://www.parismatch.com/actu/societe/cetait-necessaire-victimes-de-violences-conjugales-elles-ont-tue-pour-survivre-269484,"« C’était nécessaire » : Victimes de violences conjugales, elles ont tué pour survivre",2026-05-23,,article_presse,article,3421,silence_collectif,182,4,"bacot, valérie bacot, valérie, ans, daniel",28,16,20,7,10,66,9,26
https://actu.orange.fr/videos/france/me-nathalie-tomasini-avocate-de-valerie-bacot-le-verdict-des-jures-de-la-cour-d-assises-de-chalon-sur-saone-fera-date-CNT000001C8b64.html,"Me Nathalie Tomasini, avocate de Valérie Bacot: ""Le verdict des jurés de la cour d'assises de Chalon",2021-06-25,,article_presse,article,168,jugement_moral,11,1,"bacot, valérie bacot, valérie, ans, prison",1,2,1,0,0,1,2,4
https://www.francetvpro.fr/contenu-de-presse/62763146,"Valérie Bacot, le dernier procès",2025-03-11,,article_presse,article,549,silence_collectif,48,0,"bacot, femmes, violences, valérie bacot, valérie",5,3,2,3,4,16,13,2
https://www.franceinfo.fr/faits-divers/justice-proces/proces-de-valerie-bacot/,Procès de Valérie Bacot,2016-03-13,,article_presse,article,1234,silence_collectif,128,1,"bacot, valérie bacot, valérie, ans, prison",12,9,25,10,7,40,6,19
https://www.publicsenat.fr/actualites/politique/violences-faites-aux-femmes-le-temoignage-glacant-de-valerie-bacot-191089,Violences faites aux femmes : le témoignage glaçant de Valérie Bacot,2021-11-04,,article_presse,article,1222,silence_collectif,112,0,"bacot, femmes, violences, valérie bacot, valérie",11,6,22,12,3,47,3,8
https://www.bfmtv.com/police-justice/proces/valerie-bacot-condamnee-a-4-ans-de-prison-dont-3-avec-sursis-elle-ne-retournera-pas-en-prison_AD-202106250438.html,"Valérie Bacot condamnée à 4 ans de prison dont 3 avec sursis, elle ne retournera pas en prison",2021-06-25,,article_presse,article,292,silence_collectif,25,1,"bacot, valérie bacot, valérie, ans, prison",0,3,4,1,0,8,1,8
https://www.tf1.fr/novo19/valerie-bacot-pourquoi-jai-tue-mon-mari/videos/replay,Replay de Valérie Bacot : Pourquoi j'ai tué mon mari (Documentaire) | TF1+,2026-01-12,,article_presse,article,155,sensationnalisme,20,4,"bacot, valérie bacot, valérie, ans, daniel",0,0,0,0,0,5,15,0
